Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-04-11;Bosnie-Herzégovine;376198;15740;0;4.18;0.00;95.82
2022-04-11;Albanie;274219;3493;0;1.27;0.00;98.73
2022-04-10;Albanie;274219;3493;0;1.27;0.00;98.73
2022-04-10;Bosnie-Herzégovine;376081;15732;0;4.18;0.00;95.82
2022-04-10;Bahreïn;560023;1473;0;0.26;0.00;99.74
2022-04-10;Bolivie;903306;21899;0;2.42;0.00;97.58
2022-04-10;Bélarus;969616;6872;0;0.71;0.00;99.29
2022-04-10;Congo (Brazzaville);24079;385;0;1.60;0.00;98.40
2022-04-10;Chine;415640;4638;0;1.12;0.00;98.88
2022-04-10;Danemark;3097125;5929;0;0.19;0.00;99.81
2022-04-10;Égypte;509177;24473;0;4.81;0.00;95.19
2022-04-10;Fidji;64492;834;0;1.29;0.00;98.71
2022-04-10;Royaume-Uni;21698944;170266;0;0.78;0.00;99.22
2022-04-10;Gibraltar;17236;101;0;0.59;0.00;99.41
2022-04-10;Grèce;3173630;28130;0;0.89;0.00;99.11
2022-04-10;Hong-Kong;1190183;8770;0;0.74;0.00;99.26
2022-04-10;Indonésie;6032707;155626;0;2.58;0.00;97.42
2022-04-10;Iraq;2321874;25185;0;1.08;0.00;98.92
2022-04-10;Jordanie;1694216;14048;0;0.83;0.00;99.17
2022-04-10;Comores;8099;160;0;1.98;0.00;98.02
2022-04-10;Kazakhstan;1394057;19013;0;1.36;0.00;98.64
2022-04-10;Libéria;7400;294;0;3.97;0.00;96.03
2022-04-10;Maroc;1164030;16061;0;1.38;0.00;98.62
2022-04-10;Îles Marshall;7;0;0;0.00;0.00;100.00
2022-04-10;Maldives;177665;298;0;0.17;0.00;99.83
2022-04-10;Nouvelle-Calédonie;60494;312;0;0.52;0.00;99.48
2022-04-10;Norvège;1415928;2667;0;0.19;0.00;99.81
2022-04-10;Panama;766931;8176;0;1.07;0.00;98.93
2022-04-10;Pologne;5978215;115635;0;1.93;0.00;98.07
2022-04-10;Palaos;4098;6;0;0.15;0.00;99.85
2022-04-10;Russie;17733809;364265;0;2.05;0.00;97.95
2022-04-10;Suède;2491980;18506;0;0.74;0.00;99.26
2022-04-10;Sierra Leone;7677;125;0;1.63;0.00;98.37
2022-04-10;Sao Tomé-et-Principe;5948;73;0;1.23;0.00;98.77
2022-04-10;Taïwan;27410;854;0;3.12;0.00;96.88
2022-04-10;Uruguay;893909;7182;0;0.80;0.00;99.20
2022-04-10;Yémen;11813;2147;0;18.17;0.00;81.83
2022-04-10;Argentine;9052536;128198;0;1.42;0.00;98.58
2022-04-10;Azerbaïdjan;792237;9703;0;1.22;0.00;98.78
2022-04-10;Bulgarie;1145408;36700;0;3.20;0.00;96.80
2022-04-10;Brunéi Darussalam;138530;215;0;0.16;0.00;99.84
2022-04-10;Botswana;305526;2686;0;0.88;0.00;99.12
