"","Pays","T_2","p_value"
"174","Trinidad and Tobago","41.511","0"
"175","Tunisia","0.248","0.886"
"176","Turkey","12.823","0.0016"
"177","Turks and Caicos Islands","3.674","0.1536"
"178","Uganda","4.38","0.1119"
"179","Ukraine","1.83","0.3944"
"180","United Arab Emirates","11.662","0.0029"
"181","United Kingdom","28.201","0"
"182","United States","3.034","0.2194"
"183","Upper middle income","3.76","0.1526"
"184","Uruguay","4.307","0.1161"
"185","Uzbekistan","10.269","0.0059"
"186","Vanuatu","6.146","0.0434"
"187","Venezuela","1.206","0.5472"
"188","Vietnam","56.115","0"
"189","World","11.188","0.0037"
"190","Yemen","0.271","0.8746"
"191","Zambia","4.704","0.0952"
"192","Zimbabwe","1.974","0.3727"
