"","Pays","T_2","P_value"
"75","Hungary","1.088","1"
"76","Iceland","11.553","0.086"
"77","India","3.648","1"
"78","Indonesia","1.815","1"
"79","Iraq","9.245","0.206"
"80","Isle of Man","2.414","1"
"81","Israel","6.028","0.73"
"82","Italy","3.824","1"
"83","Jamaica","3.296","1"
"84","Jordan","1.994","1"
"85","Kazakhstan","3.928","1"
"86","Kenya","7.966","0.35"
"87","Kiribati","11.326","0.093"
"88","Kosovo","8.397","0.291"
"89","Kyrgyzstan","0.844","1"
"90","Laos","3.787","1"
"91","Lebanon","2.111","1"
"92","Lesotho","0.903","1"
"93","Liberia","0.474","1"
"94","Liechtenstein","4.366","1"
"95","Lithuania","0.965","1"
"96","Low income","0.43","1"
"97","Luxembourg","6.061","0.727"
"98","Madagascar","0.167","1"
"99","Malawi","2.183","1"
"100","Maldives","12.916","0.051"
"101","Mali","0.266","1"
"102","Malta","5.614","0.888"
"103","Mauritania","0.566","1"
"104","Mauritius","0.419","1"
"105","Mexico","0.621","1"
"106","Monaco","4.741","1"
"107","Mongolia","7.451","0.422"
"108","Montenegro","7.492","0.42"
"109","Mozambique","1.227","1"
"110","Namibia","1.774","1"
"111","Nepal","2.115","1"
"112","Netherlands","4.046","1"
"113","New Caledonia","2.12","1"
"114","New Zealand","6.571","0.591"
"115","Nicaragua","6.084","0.697"
"116","Niger","3.553","1"
"117","Nigeria","0.461","1"
"118","North America","2.821","1"
"119","North Macedonia","7.854","0.365"
"120","Norway","0.654","1"
"121","Oman","1.448","1"
"122","Pakistan","9.713","0.178"
"123","Palau","12.757","0.053"
"124","Palestine","1.565","1"
"125","Panama","9.344","0.203"
"126","Papua New Guinea","3.81","1"
"127","Paraguay","0.734","1"
"128","Peru","1.039","1"
"129","Philippines","4.843","1"
"130","Portugal","4.652","1"
"131","Romania","1.648","1"
"132","Rwanda","2.45","1"
"133","Saint Kitts and Nevis","8.621","0.268"
"134","Saint Lucia","0.486","1"
"135","Saint Pierre and Miquelon","4.231","1"
"136","Saint Vincent and the Grenadines","8.818","0.247"
"137","Samoa","1.479","1"
"138","San Marino","1.95","1"
"139","Saudi Arabia","1.29","1"
"140","Senegal","1.479","1"
"141","Seychelles","4.625","1"
"142","Sierra Leone","3.874","1"
"143","Singapore","0.804","1"
"144","Slovakia","2.725","1"
"145","Slovenia","6.945","0.503"
"146","Solomon Islands","0.302","1"
"147","Somalia","1.014","1"
"148","South Africa","10.253","0.143"
"149","South America","4.301","1"
"150","South Sudan","1.799","1"
"151","Spain","2.094","1"
"152","Sudan","1.681","1"
"153","Suriname","1.007","1"
"154","Sweden","5.32","0.994"
"155","Switzerland","1.432","1"
"156","Syria","11.324","0.093"
"157","Tajikistan","1.7","1"
"158","Tanzania","0.756","1"
"159","Thailand","1.614","1"
"160","Timor","3.882","1"
"161","Togo","2.263","1"
"162","Tonga","1.573","1"
"163","Tunisia","0.454","1"
"164","Turkey","12.231","0.066"
"165","Turks and Caicos Islands","1.603","1"
"166","Uganda","1.719","1"
"167","Ukraine","2.004","1"
"168","United Arab Emirates","11.933","0.074"
"169","United States","3.162","1"
"170","Upper middle income","7.218","0.468"
"171","Uruguay","4.306","1"
"172","Uzbekistan","10.147","0.148"
"173","Vanuatu","6.967","0.493"
"174","Venezuela","2.048","1"
"175","Yemen","0.679","1"
"176","Zambia","4.548","1"
"177","Zimbabwe","2.091","1"
