"","Pays","T_2","P_value"
"173","Senegal","0.378","0.8277"
"174","Serbia","52.819","0"
"175","Seychelles","5.157","0.0816"
"176","Sierra Leone","2.598","0.2708"
"177","Singapore","0.873","0.6463"
"178","Slovakia","3.415","0.1813"
"179","Slovenia","7.191","0.0274"
"180","Solomon Islands","0.628","0.7292"
"181","Somalia","1.297","0.5172"
"182","South Africa","13.119","0.0014"
"183","South America","4.335","0.1145"
"184","South Korea","13.121","0.0014"
"185","South Sudan","0.421","0.817"
"186","Spain","2.165","0.3398"
"187","Sri Lanka","12.911","0.0016"
"188","Sudan","2.165","0.3476"
"189","Suriname","1.576","0.4547"
"190","Sweden","5.79","0.054"
"191","Switzerland","2.149","0.3336"
"192","Syria","14.114","9e-04"
"193","Taiwan","18.496","1e-04"
"194","Tajikistan","2.58","0.2632"
"195","Tanzania","0.664","0.7146"
"196","Thailand","0.948","0.6225"
"197","Timor","0.827","0.6612"
"198","Togo","0.688","0.7091"
"199","Tonga","1.519","0.474"
"200","Trinidad and Tobago","41.511","0"
"201","Tunisia","0.248","0.8852"
"202","Turkey","12.823","0.0016"
"203","Turks and Caicos Islands","3.674","0.158"
"204","Uganda","4.38","0.1119"
"205","Ukraine","1.83","0.3928"
"206","United Arab Emirates","11.662","0.0029"
"207","United Kingdom","28.201","0"
"208","United States","3.034","0.2194"
"209","Upper middle income","3.76","0.1526"
"210","Uruguay","4.307","0.1161"
"211","Uzbekistan","10.269","0.0059"
"212","Vanuatu","6.146","0.0466"
"213","Venezuela","1.206","0.5472"
"214","Vietnam","56.115","0"
"215","Yemen","0.271","0.8712"
"216","Zambia","4.704","0.0952"
"217","Zimbabwe","1.974","0.3727"
