"","Pays","T_2","P_value"
"1","Africa","14.371","0.032"
"2","Asia","99.288","0"
"3","Australia","16.357","0.014"
"4","Austria","14.602","0.029"
"5","Belarus","19.117","0.006"
"6","Cook Islands","17.467","0.01"
"7","Cuba","39.368","0"
"8","Cyprus","16.007","0.014"
"9","Djibouti","16.094","0.017"
"10","Egypt","81.358","0"
"11","Estonia","18.337","0.006"
"12","Gibraltar","15.726","0.017"
"13","Greece","16.425","0.014"
"14","Iceland","12.349","0.05"
"15","Iran","24.989","0"
"16","Ireland","21.69","0"
"17","Japan","33.564","0"
"18","Kuwait","24.557","0"
"19","Latvia","27.235","0"
"20","Libya","28.853","0"
"21","Malaysia","21.142","0"
"22","Moldova","16.864","0.01"
"23","Morocco","17.035","0.01"
"24","Myanmar","19.548","0.006"
"25","Oceania","31.464","0"
"26","Poland","18.842","0.006"
"27","Qatar","22.296","0"
"28","Russia","24.994","0"
"29","Serbia","52.819","0"
"30","South Africa","13.119","0.05"
"31","South Korea","13.121","0.05"
"32","Syria","14.114","0.035"
"33","Taiwan","18.496","0.006"
"34","Trinidad and Tobago","41.511","0"
"35","United Kingdom","28.201","0"
"36","Vietnam","56.115","0"
