"","Pays","T_2","P_value"
"156","Philippines","4.84331256794017","1"
"157","Poland","19.6983743070753","0.004"
"158","Portugal","4.65243556574334","1"
"159","Qatar","18.2939433353428","0.006"
"160","Romania","1.64848959764985","1"
"161","Russia","20.5517368057498","0.003"
"162","Rwanda","2.4501036362526","1"
"163","Saint Kitts and Nevis","8.62093396289798","0.268"
"164","Saint Lucia","0.486361596530258","1"
"165","Saint Pierre and Miquelon","4.23145639254808","1"
"166","Saint Vincent and the Grenadines","8.81774324742672","0.247"
"167","Samoa","1.47895203815071","1"
"168","San Marino","1.94988240610716","1"
"169","Sao Tome and Principe","17.6388200861846","0.007"
"170","Saudi Arabia","1.29007191508015","1"
"171","Senegal","1.47897984510675","1"
"172","Serbia","47.553311508685","0"
"173","Seychelles","4.6252310490764","1"
"174","Sierra Leone","3.87379783787864","1"
"175","Singapore","0.803863588854357","1"
"176","Slovakia","2.72498858442272","1"
"177","Slovenia","6.94533057046129","0.509"
"178","Solomon Islands","0.301705026142194","1"
"179","Somalia","1.01369472447061","1"
"180","South Africa","10.2534474686924","0.143"
"181","South America","4.30051548249302","1"
"182","South Korea","14.8894955325047","0.023"
"183","South Sudan","1.79931237244387","1"
"184","Spain","2.09391219683357","1"
"185","Sri Lanka","13.262713607534","0.043"
"186","Sudan","1.68080835488331","1"
"187","Suriname","1.00744904406683","1"
"188","Sweden","5.31983860882829","0.994"
"189","Switzerland","1.43224172218302","1"
"190","Syria","11.3237525474688","0.093"
"191","Taiwan","16.2821951970204","0.013"
"192","Tajikistan","1.7003649649487","1"
"193","Tanzania","0.756096690541087","1"
"194","Thailand","1.61425033412557","1"
"195","Timor","3.88249926971631","1"
"196","Togo","2.26318608078574","1"
"197","Tonga","1.57260703120849","1"
"198","Trinidad and Tobago","41.8467304205111","0"
"199","Tunisia","0.453664499658076","1"
"200","Turkey","12.2307504078588","0.066"
"201","Turks and Caicos Islands","1.6030399530909","1"
"202","Uganda","1.71935752090437","1"
"203","Ukraine","2.00411731600494","1"
"204","United Arab Emirates","11.9326450354531","0.074"
"205","United Kingdom","27.4310890449068","0"
"206","United States","3.16175427559904","1"
"207","Upper middle income","7.21756236560597","0.468"
"208","Uruguay","4.30595060153875","1"
"209","Uzbekistan","10.1465268472468","0.148"
"210","Vanuatu","6.96658752710403","0.565"
"211","Venezuela","2.04818625869037","1"
"212","Vietnam","45.6822701673974","0"
"213","Yemen","0.678659248276894","1"
"214","Zambia","4.54805724911898","1"
"215","Zimbabwe","2.09087635510002","1"
